,name,loss
0,Sinlaku,0.1760928961750512
1,Sinlaku,0.14983974358974628
2,Sinlaku,0.35876831501844286
3,Hagupit,0.024285714285840143
4,Hagupit,-0.09532374100713348
5,Hagupit,0.29731585290137197
6,Hagupit,-0.07043650793639422
7,Hagupit,-0.4264971139971028
8,Hagupit,-0.4460659898475736
9,Hagupit,-0.905906415379576
10,Hagupit,0.3425925925927693
11,Hagupit,0.5252980720449081
12,Hagupit,-0.360062893081766
13,Hagupit,-1.1344074623702642
14,Hagupit,0.04127906976731488
15,Hagupit,-0.9530568677326201
16,Hagupit,0.6056250000000887
17,Hagupit,-0.0012898936170238073
18,Hagupit,0.3227272727272812
19,Hagupit,-1.5015374331552245
20,Hagupit,-0.03160112359539724
21,Hagupit,-2.9021627177982907
22,Hagupit,0.39187116564444224
23,Hagupit,-0.7643788343557141
24,Hagupit,0.19054878048783408
25,Hagupit,-1.4666141408605107
26,Hagupit,-0.21988636363612102
27,Jangmi,-1.369444444444678
28,Jangmi,0.3673312883437774
29,Jangmi,-0.5511752051628207
30,Jangmi,0.05914634146317077
31,Jangmi,-1.659731209557373
32,Jangmi,0.044230769230590994
33,Jangmi,-1.6641804457229021
34,Jangmi,-0.04270186335397952
35,Jangmi,-3.3673913043480432
36,Jangmi,0.10027472527497139
37,Jangmi,-3.381597312639471
38,Mekkhala,-0.6548494983277582
39,Mekkhala,0.20951957295377355
40,Mekkhala,-0.0851884562436176
41,Mekkhala,-0.07975113122192568
42,Higos,0.31689189189192213
43,Higos,-0.09425133689862264
44,Higos,-0.11650264579892244
45,Higos,-0.2802835051547614
46,Higos,-0.3221753970466086
47,Bavi,-0.7942307692308717
48,Bavi,0.2244897959185046
49,Bavi,-0.03580432172845782
50,Bavi,-0.03429878048773283
51,Bavi,-0.43994849800177427
52,Bavi,0.3490853658537052
53,Bavi,-0.19811858151461337
54,Bavi,-0.26739130434769187
55,Bavi,-1.0878576255913615
56,Bavi,-0.4463190184047132
57,Bavi,-0.9241140494604334
58,Bavi,-0.5051169590645141
59,Bavi,-0.6006216909252036
60,Bavi,-0.33989726027399136
61,Bavi,-1.0537526819606189
62,Bavi,-0.005172413793097519
63,Bavi,-0.7471366995071911
64,Bavi,0.018478260869532193
65,Bavi,-0.8299854262813433
66,Bavi,-0.27327127659559736
67,Bavi,-2.2952470830473786
68,Maysak,-0.13860103626928577
69,Maysak,0.08302919708014755
70,Maysak,0.11448080998323817
71,Maysak,0.13905325443796812
72,Maysak,0.44374938703468736
73,Maysak,-0.11102484472047713
74,Maysak,-0.7922748447203087
75,Maysak,-0.17027559055120456
